game_id,steam_app_id,game_name,release_date,developers,publishers,genres,platforms,price,discount_percent,review_count,positive_percent,snapshot_date
7,730,Counter-Strike 2,2012-08-21,Valve,Valve,"Action, Free To Play","Linux, Windows",0.00,,2606522.0,77.00,2026-08-31
8,570,Dota 2,2013-07-09,Valve,Valve,"Action, Free To Play, Strategy","Linux, Mac, Windows",0.00,,837029.0,68.00,2026-08-31
9,1172470,Apex Legends™,2020-11-04,Respawn,Electronic Arts,"Action, Adventure, Free To Play",Windows,0.00,,449635.0,67.00,2026-08-31
10,1478500,Big Walk,2026-08-04,House House,Panic,Adventure,"Mac, Windows",999.00,,19731.0,95.00,2026-08-31
11,2552430,KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,2024-06-13,Square Enix,Square Enix,"Action, Adventure, RPG",Windows,3499.00,,7637.0,87.00,2026-08-31
12,2767030,Marvel Rivals,2024-12-05,NetEase Games,,"Action, Free To Play",Windows,0.00,,298588.0,66.00,2026-08-31
13,3513350,Wuthering Waves,2025-04-28,KURO GAMES,,"Action, Adventure, Free To Play, RPG",Windows,0.00,,29499.0,79.00,2026-08-31
14,1623730,Palworld,2026-07-09,Pocketpair,Pocketpair,"Action, Adventure, Indie, RPG",Windows,910.00,30.00,179953.0,95.00,2026-08-31
15,4162040,Zenless Zone Zero,2026-06-16,COGNOSPHERE PTE. LTD.,,"Action, Adventure, Free To Play, RPG",Windows,0.00,,6437.0,87.00,2026-08-31
16,3079210,Hell Let Loose: Vietnam,2026-08-13,Expression Games,Team17,"Action, Massively Multiplayer, Simulation, Strategy",Windows,1893.00,,7518.0,61.00,2026-08-31
17,1142710,Total War: WARHAMMER III,2022-02-16,"CREATIVE ASSEMBLY, Feral Interactive",SEGA,"Action, Strategy","Linux, Mac, Windows",4299.00,,56326.0,82.00,2026-08-31
18,3932890,Escape from Tarkov,2025-11-15,Battlestate Games,,"Action, Massively Multiplayer, RPG, Simulation",Windows,1780.00,,12896.0,56.00,2026-08-31
19,2483190,Forza Horizon 6,2026-05-18,Playground Games,Xbox Game Studios,"Racing, Simulation, Sports",Windows,4674.00,15.00,40777.0,71.00,2026-08-31
20,4704690,MECCHA CHAMELEON,2026-06-09,lemorion_1224,lemorion_1224,Casual,Windows,309.00,,42321.0,89.00,2026-08-31
21,292000,No More Room in Hell 2,2026-08-11,Torn Banner Studios,,"Action, Indie",Windows,1300.00,,8651.0,73.00,2026-08-31
22,1449850,Yu-Gi-Oh! Master Duel,2022-01-18,KONAMI,KONAMI,"Free To Play, Simulation, Strategy",Windows,0.00,,48858.0,50.00,2026-08-31
23,2507950,Delta Force,2024-12-04,Team Jade,,"Action, Adventure, Free To Play, Massively Multiplayer",Windows,0.00,,68500.0,49.00,2026-08-31
24,252490,Rust,2018-02-08,Facepunch Studios,Facepunch Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG","Mac, Windows",1799.00,21.00,530643.0,80.00,2026-08-31
25,2950790,IRON NEST: Heavy Turret Simulator,2026-08-06,"Dominik Latos, Nick Nieuwoudt",,"Action, Indie, Simulation",Windows,599.00,,6986.0,97.00,2026-08-31
26,3812600,ReStory: Chill Electronics Repairs,2026-08-06,Mandragora,tinyBuild,"Indie, Simulation","Mac, Windows",599.00,,4429.0,95.00,2026-08-31
27,359550,Tom Clancy's Rainbow Six Siege,2015-12-01,Ubisoft Montreal,Ubisoft,"Action, Free To Play",Windows,0.00,,807220.0,72.00,2026-08-31
28,3751950,Assassin's Creed Black Flag Resynced,2026-07-09,"Ubisoft Barcelona, Ubisoft Belgrade, Ubisoft Bordeaux, Ubisoft Chengdu, Ubisoft India, Ubisoft Kyiv, Ubisoft Montpellier, Ubisoft Montreal, Ubisoft Philippines, Ubisoft Quebec, Ubisoft Romania, Ubisoft Shanghai, Ubisoft Singapore",Ubisoft,"Action, Adventure",Windows,4199.00,,13751.0,86.00,2026-08-31
29,3722330,Shift At Midnight,2026-07-22,Bun Muen,Kwalee,"Indie, Simulation",Windows,359.00,10.00,4150.0,86.00,2026-08-31
30,236390,War Thunder,2013-08-15,Gaijin Entertainment,Gaijin Network Ltd,"Action, Free To Play, Massively Multiplayer, Simulation","Linux, Mac, Windows",0.00,,324456.0,65.00,2026-08-31
31,2651280,Marvel's Spider-Man 2,2025-01-30,"Insomniac Games, Nixxes Software",PlayStation Publishing LLC,"Action, Adventure",Windows,3999.00,,17953.0,88.00,2026-08-31
32,3527290,PEAK,2025-06-16,Team PEAK,"Aggro Crab, Evil Landfall?","Action, Adventure, Indie",Windows,359.00,38.00,141923.0,91.00,2026-08-31
33,2141910,Magic: The Gathering Arena,2023-05-23,Wizards of the Coast,,"Free To Play, Strategy","Mac, Windows",0.00,,22555.0,58.00,2026-08-31
